No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
136,"1,3-butadieno",C4H6,6.84999,930.546,238.854,-58,14
137,1-butileno(etilacetileno),C4H6,6.98198,988.75,233.01,-68,27
138,2-butileno(dimetilacetileno),C4H6,7.07338,1101.71,235.81,-30,47
139,Ciclobuteno,C4H6,6.95769,1009.32,244.986,-77,2
140,Anhídrido-acético,C4H6O3,7.1216,1427.77,198.05,35,164
141,Butironitrilo,C4H7N,7.0396,1390.7,217,34,160
142,Isobutironitrilo,C4H7N,7.21591,1390.7,217,49,127
143,1-buteno,C4H8,6.8429,926.1,240,-81,13
144,"2-buteno,cis",C4H8,6.86926,960.1,237,-73,23
145,"2-buteno,trans",C4H8,6.86952,960.8,240,-76,20
146,2-metilpropeno,C4H8,6.84134,923.2,240,-82,12
147,Ciclobutano,C4H8,6.9163,1024.54,241.38,-73,17
148,"1,2-dibromobutano",C4H8BR2,7.25696,1759.076,235.009,8,166
149,"2,3-dibromobutano",C4H8BR2,7.20023,1691.481,230.223,5,161
150,"1,2-diyodobutano",C4H8I2,6.2433,1507.41,244.7,110,246
151,Butiraldehído,C4H8O,7.0212,1233,223.01,-18,107
152,2-butanona,C4H8O,7.2087,1368.21,236.51,-16,103
153,P-dioxano,C4H8O2,7.0063,1288.5,211.01,2,137
154,Etil-acetato,C4H8O2,7.0146,1211.9,216.01,-13,112
155,Tiaciclopentano,C4H8S,6.9954,1401.939,219.607,14,147
156,1-bromobutano,C4H9BR,6.92254,1298.608,219.7,19,141
157,2-bromobutano,C4H9BR,6.82724,1229.08,220,10,146
158,2-bromo-2-metilpropano,C4H9BR,6.6685,1129.7,225,-7,110
159,1-clorobutano,C4H9CL,6.9379,1227.43,224.11,-18,112
160,2-clorobutano,C4H9CL,6.9447,1195.8,226.01,-23,102
161,1-cloro-2-metilpropano,C4H9CL,6.95304,1205.079,227.046,-54,69
162,2-cloro-2-metilpropano,C4H9CL,6.8671,1114.9,229.01,-38,87
163,2-yodo-2-metilpropano,C4H9I,7.2539,1507.41,244.7,42,124
164,Pirrolidina,C4H9N,6.9246,1179.99,205.26,27,127
165,1-nitrobutano,C4H9NO2,6.86715,1467.45,215.23,86,182
166,2-nitrobutano,C4H9NO2,7.25197,1664.03,240.99,75,167
167,Butano,C4H10,6.80896,935.86,238.73,-78,19
168,2-metilpropano(isobutano),C4H10,6.91048,946.35,246.68,-87,7
169,Etil-éter,C4H10O,6.92032,1064.07,228.8,-61,20
170,Metil-propil-éter,C4H10O,6.1186,708.69,179.9,0,39
171,Metil-isopropil-éter,C4H10O,6.24495,708.69,179.9,-12,51
172,Alcohol-butílico,C4H10O,7.4768,1362.39,178.73,15,131
173,Alcohol-sec-butílico,C4H10O,7.4743,1314.19,186.51,25,120
174,Alcohol-terc-butílico,C4H10O,7.3199,1154.48,177.66,20,103
175,Etilsulfuro,C4H10S,6.92836,1257.833,218.662,-6,117
176,Isopropilmetilsulfuro,C4H10S,6.90196,1232.17,221.67,-13,109
177,Metil-propil-sulfuro,C4H10S,6.95545,1284.32,219.66,-4,120
178,1-butanotiol,C4H10S,6.92754,1281.018,218.1,-2,123
179,2-butanotiol,C4H10S,6.88698,1229.904,222.021,-13,109
180,2-metil-1-propanetiol,C4H10S,6.88746,1237.282,220.313,-10,113
181,2-metil-2-propanethiol,C4H10S,6.78781,1115.565,221.314,1,87
182,Disulfuro-de-etilo,C4H10S2,6.97507,1485.97,208.958,40,182
183,Butilamina,C4H11N,7.213,1308.4,224.2,-14,100
184,Sec-butilamina,C4H11N,7.15069,1238.3,227,-9,98
185,Terc-butilamina,C4H11N,6.78309,993.262,210.493,19,75
186,Dietilamina,C4H11N,6.9724,1127,220.01,-31,77
187,Piridina,C5H5N,6.9882,1344.2,212.01,12,152
188,2-metiltiofeno,C5H6S,6.93897,1326.48,214.31,9,138
189,3-metiltiofeno,C5H6S,6.98611,1363.84,216.78,11,141
190,"1,2-pentadieno",C5H8,6.9182,1104.991,228.851,-20,66
191,"1,3-pentadieno,cis",C5H8,6.91089,1101.923,229.367,-17,65
192,"1,3-pentadieno,trans",C5H8,6.91317,1103.84,231.724,-16,63
193,"1,4-pentadieno",C5H8,6.83543,1017.995,231.461,-33,46
194,"2,3-pentadieno",C5H8,6.96216,1126.837,227.841,-13,69
